Date,Open,High,Low,Close,Adj Close,Volume
14/04/2020,61.799999,62.049999,60.900002,61.43,61.43,1762500
15/04/2020,62.200001,62.200001,61.240002,62.07,62.07,2207300
16/04/2020,62.419998,62.470001,61.59,62.240002,62.240002,2740200
17/04/2020,64.139999,64.440002,63.490002,64.440002,64.440002,3182300
20/04/2020,63.59,64.43,63.200001,63.549999,63.549999,2436900
21/04/2020,62.209999,62.650002,61.41,62.049999,62.049999,2203700
22/04/2020,62.689999,62.98,62.470001,62.68,62.68,837300
23/04/2020,63.43,63.5,61.959999,62.060001,62.060001,985500
24/04/2020,63.189999,63.189999,62.25,62.959999,62.959999,1158100
27/04/2020,63.509998,63.869999,63.220001,63.450001,63.450001,1233300
28/04/2020,63.880001,64.040001,62.889999,62.919998,62.919998,972100
29/04/2020,64.410004,64.849998,63.830002,64.580002,64.580002,1193600
30/04/2020,64.160004,64.440002,63.400002,64.25,64.25,1108900
01/05/2020,63.23,63.619999,62.16,62.73,62.73,625200
04/05/2020,62.299999,62.529999,61.349998,61.939999,61.939999,768100
05/05/2020,62.889999,63.740002,62.779999,63.389999,63.389999,957200
06/05/2020,63.939999,64.260002,63.240002,63.950001,63.950001,913600
07/05/2020,64.269997,64.589996,63.900002,64.370003,64.370003,900400
08/05/2020,65,65.889999,64.589996,65.510002,65.510002,957700
11/05/2020,65.769997,66.050003,65.279999,65.970001,65.970001,916800
12/05/2020,65.919998,66.400002,65.550003,65.589996,65.589996,1140200
13/05/2020,63.68,64.050003,62.299999,62.779999,62.779999,2543800
14/05/2020,62.939999,63.66,62.369999,63.66,63.66,1329900
15/05/2020,63.52,64.559998,63.48,64.010002,64.010002,1241200
18/05/2020,63,64.459999,62.689999,64.07,64.07,1976900
19/05/2020,64.290001,64.339996,63,63.049999,63.049999,2118400
20/05/2020,63.23,63.849998,63.060001,63.169998,63.169998,2146500
21/05/2020,63,63.380001,62.18,62.740002,62.740002,1214600
22/05/2020,63.200001,63.32,62.59,63.240002,63.240002,848700
26/05/2020,62.790001,63.16,62.16,62.18,62.18,1435100
27/05/2020,62.5,63.029999,62.02,62.970001,62.970001,1524600
28/05/2020,63.580002,65.330002,63.580002,64.580002,64.580002,1606900
29/05/2020,64.199997,64.760002,63.650002,64.760002,64.760002,1176800
01/06/2020,64.910004,65.650002,64.559998,65.489998,65.489998,1423600
02/06/2020,65.980003,66.82,65.919998,66.75,66.75,1420600
